DEBUG: General     , 1707362409287> 92.938.008> LoggerManager.init                  > Initializing...
LOG  : General     , 1707362409323> 92.938.038> cachedir set to "C:\Users\mlope\Zomboid"
LOG  : General     , 1707362409388> 92.938.103> version=41.78.16 demo=false
LOG  : General     , 1707362409388> 92.938.103> revision= date= time=
LOG  : General     , 1707362409393> 92.938.108> unknown option "0"
LOG  : General     , 1707362409393> 92.938.108> server name is "servertest"
LOG  : General     , 1707362409394> 92.938.109> map_t.bin does not exist, cannot determine the server's WorldVersion.  This is ok the first time a server is started.
LOG  : General     , 1707362409395> 92.938.110> Loading networking libraries...
LOG  : General     , 1707362409395> 92.938.110> Loading steam_api64...
LOG  : General     , 1707362409397> 92.938.112> Loading RakNet64...
LOG  : General     , 1707362409399> 92.938.114> Loading ZNetJNI64...
LOG  : Network     , 1707362409418> 92.938.132> [08-02-24 00:20:09.417] > ZNet: SetLogLevel 2
LOG  : Network     , 1707362409419> 92.938.134> [08-02-24 00:20:09.419] > ZNet: SteamAPI initialised successfully
LOG  : General     , 1707362409419> 92.938.134> SteamUtils initialised successfully
LOG  : General     , 1707362416471> 92.945.186> translator: language is EN
LOG  : General     , 1707362416602> 92.945.317> LightingFPS set to 15
LOG  : General     , 1707362416617> 92.945.332> reading C:\Users\mlope\Zomboid\Server\servertest.ini
LOG  : General     , 1707362416619> 92.945.334> writing C:\Users\mlope\Zomboid\Server\servertest.ini
LOG  : Network     , 1707362416628> 92.945.342> [08-02-24 00:20:16.627] > ZNet: SZombienet -> SZombienet: Init
LOG  : Network     , 1707362416682> 92.945.397> [08-02-24 00:20:16.682] > ZNet: SteamGameServer seems to be initialized
LOG  : Network     , 1707362416683> 92.945.398> [08-02-24 00:20:16.683] > ZNet: SZombienet -> SSteamSDK: SetMaxPlayerCount
LOG  : General     , 1707362416686> 92.945.400> Waiting for response from Steam servers
LOG  : Network     , 1707362418102> 92.946.817> [08-02-24 00:20:18.102] > ZNet: SSteamSDK -> SZombienet: OnSteamServersConnected
LOG  : Network     , 1707362418102> 92.946.817> [08-02-24 00:20:18.102] > ZNet: OnSteamServersConnected
LOG  : Network     , 1707362418103> 92.946.818> [08-02-24 00:20:18.103] > ZNet: SZombienet -> SSteamSDK: SetMaxPlayerCount
LOG  : Network     , 1707362418104> 92.946.819> [08-02-24 00:20:18.104] > ZNet: Public IP: 191.193.215.176
LOG  : General     , 1707362418107> 92.946.822> Start making backup to: C:\Users\mlope\Zomboid\backups\startup
LOG  : General     , 1707362418203> 92.946.918> compressionElapsed=71ms, mergingElapsed=21ms
LOG  : General     , 1707362418208> 92.946.923> Backup made in 99 ms
LOG  : General     , 1707362418212> 92.946.926> user database "C:\Users\mlope\Zomboid\db\servertest.db"
LOG  : General     , 1707362418268> 92.946.982> Router detection/configuration starting.
LOG  : General     , 1707362418268> 92.946.983> If the server hangs here, set UPnP=false.
LOG  : General     , 1707362421338> 92.950.052> UPnP-enabled internet gateway found: http://192.168.15.1:42500/ctl/IPConn
LOG  : General     , 1707362421340> 92.950.055> External IP address: 191.193.215.176
LOG  : General     , 1707362421340> 92.950.055> trying to setup port forwarding rules...
LOG  : Network     , 1707362421341> 92.950.055> [08-02-24 00:20:21.341] > ZNet: Using http://192.168.15.1:42500/ctl/IPConn to map external UDP port 16261 to local port 16261...
LOG  : Network     , 1707362421341> 92.950.056> [08-02-24 00:20:21.341] > ZNet: Checking if the port is already mapped...
LOG  : Network     , 1707362421344> 92.950.059> [08-02-24 00:20:21.344] > ZNet: Port 16261 is already mapped to 192.168.15.119:16261 for 86226 seconds
LOG  : Network     , 1707362421345> 92.950.060> [08-02-24 00:20:21.345] > ZNet: It seems to be our old mapping
LOG  : Network     , 1707362421345> 92.950.060> [08-02-24 00:20:21.345] > ZNet: Deleting this existing mapping...
LOG  : Network     , 1707362421365> 92.950.080> [08-02-24 00:20:21.365] > ZNet: Existing mapping has been successfully removed
LOG  : Network     , 1707362421365> 92.950.080> [08-02-24 00:20:21.365] > ZNet: Adding mapping to the routing table...
LOG  : Network     , 1707362421382> 92.950.097> [08-02-24 00:20:21.382] > ZNet: UPNP_AddPortMapping() succeeded, testing now...
LOG  : Network     , 1707362421385> 92.950.100> [08-02-24 00:20:21.385] > ZNet: UPNP_GetSpecificPortMappingEntry() succeeded, seems that we're good
LOG  : Network     , 1707362421386> 92.950.100> Default port has been mapped successfully
LOG  : Network     , 1707362421386> 92.950.101> [08-02-24 00:20:21.386] > ZNet: Using http://192.168.15.1:42500/ctl/IPConn to map external UDP port 16262 to local port 16262...
LOG  : Network     , 1707362421387> 92.950.102> [08-02-24 00:20:21.387] > ZNet: Checking if the port is already mapped...
LOG  : Network     , 1707362421389> 92.950.104> [08-02-24 00:20:21.389] > ZNet: Port 16262 is already mapped to 192.168.15.119:16262 for 86226 seconds
LOG  : Network     , 1707362421390> 92.950.105> [08-02-24 00:20:21.390] > ZNet: It seems to be our old mapping
LOG  : Network     , 1707362421390> 92.950.105> [08-02-24 00:20:21.390] > ZNet: Deleting this existing mapping...
LOG  : Network     , 1707362421414> 92.950.129> [08-02-24 00:20:21.414] > ZNet: Existing mapping has been successfully removed
LOG  : Network     , 1707362421415> 92.950.130> [08-02-24 00:20:21.415] > ZNet: Adding mapping to the routing table...
LOG  : Network     , 1707362421433> 92.950.148> [08-02-24 00:20:21.433] > ZNet: UPNP_AddPortMapping() succeeded, testing now...
LOG  : Network     , 1707362421436> 92.950.151> [08-02-24 00:20:21.436] > ZNet: UPNP_GetSpecificPortMappingEntry() succeeded, seems that we're good
LOG  : Network     , 1707362421436> 92.950.151> AdditionUDPPort has been mapped successfully
LOG  : Network     , 1707362421437> 92.950.152> Initialising Server Systems...
LOG  : Lua         , 1707362422133> 92.950.848> Loading: media/lua/shared/Sandbox/Apocalypse.lua
LOG  : General     , 1707362423201> 92.951.916> scriptChecksum: 65f5e46ef1be089d5adca89001729e9c
WARN : Recipe      , 1707362423208> 92.951.923> RecipeManager.resolveItemModuleDotType> WARNING: module "Base" may have forgot to import module Base
WARN : Script      , 1707362423213> 92.951.928> ModelScript.check> no such model "null" for Base.BareHands
